material,model,geometry,qx,qy,qe_mode,ml_mode,qe_frequency_thz,ml_frequency_thz,frequency_difference_thz,single_overlap_squared,qe_subspace_dimension,subspace_minimum_overlap_squared,gamma_point
mos2,tece,model_relaxed,0.3333333333333333,0.16666666666666666,7,7,11.498344,10.704529788724482,-0.7938142112755173,0.9941276828318567,1,0.9941276828318567,False
mos2,tece,model_relaxed,0.3333333333333333,0.16666666666666666,8,8,11.767789,11.029377453751353,-0.7384115462486474,0.9976850657918672,1,0.9976850657918672,False
mos2,tece,model_relaxed,0.3333333333333333,0.16666666666666666,9,9,12.328262,11.644040072907542,-0.6842219270924588,0.99676579671909,1,0.9967657967190898,False
mos2,tece,model_relaxed,0.3333333333333333,0.3333333333333333,1,1,5.374145,5.207591114117429,-0.16655388588257125,0.9998086677607722,1,0.9998086677607722,False
mos2,tece,model_relaxed,0.3333333333333333,0.3333333333333333,2,2,5.592916,5.466227336980134,-0.12668866301986537,0.9990432054828962,1,0.9990432054828962,False
mos2,tece,model_relaxed,0.3333333333333333,0.3333333333333333,3,3,7.065563,6.7571564533097765,-0.3084065466902235,0.9980286919680182,1,0.9980286919680182,False
mos2,tece,model_relaxed,0.3333333333333333,0.3333333333333333,4,4,9.845116,9.379799427235778,-0.4653165727642232,0.9999999850674316,1,0.9999999850674316,False
mos2,tece,model_relaxed,0.3333333333333333,0.3333333333333333,5,5,10.177306,9.704736975435361,-0.47256902456463834,0.9999961074914538,2,0.9999999839762302,False
mos2,tece,model_relaxed,0.3333333333333333,0.3333333333333333,6,6,10.185892,9.721824543521665,-0.464067456478336,0.9999961034759669,2,0.9999999839762302,False
mos2,tece,model_relaxed,0.3333333333333333,0.3333333333333333,7,7,11.496786,10.65126450676185,-0.8455214932381505,0.9998086657734387,1,0.9998086657734387,False
mos2,tece,model_relaxed,0.3333333333333333,0.3333333333333333,8,8,11.725382,10.869248193107603,-0.8561338068923963,0.9980286177910831,1,0.9980286177910831,False
mos2,tece,model_relaxed,0.3333333333333333,0.3333333333333333,9,9,12.075427,11.413731981531,-0.6616950184689987,0.999043200878577,1,0.999043200878577,False
mos2,tece,model_relaxed,0.3333333333333333,0.5,1,1,4.873539,4.757319138203891,-0.11621986179610921,0.9995839671987522,1,0.9995839671987522,False
mos2,tece,model_relaxed,0.3333333333333333,0.5,2,2,5.368917,5.114926110783692,-0.25399088921630764,0.9992460836629198,1,0.9992460836629193,False
mos2,tece,model_relaxed,0.3333333333333333,0.5,3,3,6.649682,6.377135098973114,-0.27254690102688617,0.9979534469525332,1,0.9979534469525336,False
mos2,tece,model_relaxed,0.3333333333333333,0.5,4,4,9.645211,9.108311667386731,-0.5368993326132685,0.9976273982087965,1,0.9976273982087965,False
mos2,tece,model_relaxed,0.3333333333333333,0.5,5,5,10.130781,9.664683642982126,-0.46609735701787436,0.999182688589839,1,0.999182688589839,False
mos2,tece,model_relaxed,0.3333333333333333,0.5,6,6,10.499809,10.04841582879006,-0.4513931712099417,0.9965676176971441,1,0.9965676176971439,False
mos2,tece,model_relaxed,0.3333333333333333,0.5,7,7,11.498344,10.704711954351675,-0.7936320456483248,0.9941409535045751,1,0.9941409535045753,False
mos2,tece,model_relaxed,0.3333333333333333,0.5,8,8,11.767789,11.02936202874683,-0.7384269712531708,0.9976860872753874,1,0.9976860872753879,False
mos2,tece,model_relaxed,0.3333333333333333,0.5,9,9,12.328262,11.644022799599334,-0.6842392004006665,0.9967651220527377,1,0.9967651220527377,False
mos2,tece,model_relaxed,0.3333333333333333,0.6666666666666666,1,1,3.828916,3.7484468476996766,-0.08046915230032337,0.9996129904084641,1,0.9996129904084641,False
mos2,tece,model_relaxed,0.3333333333333333,0.6666666666666666,2,2,4.147756,3.945708158120291,-0.20204784187970937,0.9999165166910697,1,0.9999165166910697,False
mos2,tece,model_relaxed,0.3333333333333333,0.6666666666666666,3,3,6.455119,6.137312145543797,-0.3178068544562027,0.998637431900741,1,0.9986374319007407,False
mos2,tece,model_relaxed,0.3333333333333333,0.6666666666666666,4,4,9.177996,8.65731682913853,-0.5206791708614702,0.9999999973889613,1,0.9999999973889615,False
mos2,tece,model_relaxed,0.3333333333333333,0.6666666666666666,5,5,10.149005,9.7192820896925,-0.4297229103075004,0.9989389151044777,1,0.9989389151044777,False
mos2,tece,model_relaxed,0.3333333333333333,0.6666666666666666,6,6,10.724786,10.245891813770632,-0.4788941862293683,0.9990054554490985,1,0.9990054554490982,False
mos2,tece,model_relaxed,0.3333333333333333,0.6666666666666666,7,7,11.377898,10.637320826592163,-0.7405771734078375,0.9999165095716248,1,0.999916509571625,False
mos2,tece,model_relaxed,0.3333333333333333,0.6666666666666666,8,8,12.331607,11.636890327020911,-0.694716672979089,0.9992842450365532,1,0.9992842450365532,False
mos2,tece,model_relaxed,0.3333333333333333,0.6666666666666666,9,9,12.539281,11.868515752476794,-0.6707652475232067,0.9982459203458963,1,0.9982459203458963,False
mos2,tece,model_relaxed,0.3333333333333333,0.8333333333333334,1,1,3.114433,3.0785667450790064,-0.0358662549209936,0.9997540264632624,1,0.9997540264632624,False
